Gene,FM_mean,HC_mean,FC,d_cohen,p_MW,p_Welch,p_female_only,p_male_only,p_sex_adjusted,Robust_5of5
KCTD9,2.3064,1.8698,1.233,0.242,0.04228543,0.09803769,0.03446721,0.25018521,0.31409177,2
ZNF7,4.0571,4.8025,0.845,-0.185,0.18843127,0.2048261,0.14824144,0.75300697,0.31411999,0
ADARB1,12.2849,12.0389,1.02,0.015,0.0442113,0.91966674,0.00580199,0.63152163,0.31412586,2
CCR4,4.8758,6.6719,0.731,-0.262,0.00524836,0.07412969,0.02338972,0.88048261,0.31414576,2
WSB1,11.7341,12.8733,0.912,-0.091,0.45403046,0.53126849,0.79437617,0.69133573,0.31421872,0
TOR1AIP2,2.7933,2.924,0.955,-0.064,0.0495061,0.65908697,0.1496261,0.06787552,0.31437132,1
LCP1,64.6755,111.946,0.578,-0.49,5.252e-05,0.0009886,0.00803537,0.7949782,0.31441401,3
SREBF2,47.7368,62.9039,0.759,-0.33,6.508e-05,0.02447288,0.00018596,0.32701011,0.31448393,3
ZNF274,6.1755,7.431,0.831,-0.191,0.01112628,0.18929009,0.02192895,0.5928362,0.31471216,2
LMBRD1,6.6797,8.8479,0.755,-0.211,0.14460388,0.14830741,0.84790988,0.816179,0.31477741,0
LAPTM5,112.8062,202.4577,0.557,-0.507,1.3e-07,0.00062237,0.00024396,0.94552275,0.31498816,3
LIPT1,1.3381,1.618,0.827,-0.177,0.88999474,0.22770022,0.88658992,0.1129434,0.31530049,0
PTPN11,3.2441,3.3912,0.957,-0.047,0.76274447,0.74749168,0.3707865,0.5928362,0.31539672,0
RRN3P1,0.6251,1.0817,0.578,-0.218,0.02709553,0.13772895,0.03586718,0.7612222,0.31557541,2
RGS2,22.3916,59.6229,0.376,-0.415,0.00062223,0.00559277,0.04974877,0.53681325,0.31557956,3
COMMD2,2.7325,2.6257,1.041,0.038,0.20981805,0.7934751,0.07585518,0.73226424,0.31559163,0
STK25,33.7092,40.5963,0.83,-0.202,0.00011068,0.16602171,0.00016859,0.88048261,0.31577183,2
EAPP,8.9743,9.477,0.947,-0.041,0.53632016,0.77720011,0.33759162,0.57388325,0.31594718,0
DDX5,65.7519,84.2005,0.781,-0.292,0.0022529,0.0458305,0.01707771,0.63152163,0.3160468,3
ALG9,2.024,2.0623,0.981,-0.023,0.82010768,0.87550516,0.21344441,0.55520734,0.31638387,0
MRPS30,22.8487,28.9338,0.79,-0.288,0.00992006,0.04962783,0.03446721,0.75300697,0.31639365,3
HP1BP3,26.743,34.6983,0.771,-0.271,0.00533527,0.06381772,0.00288193,0.29995754,0.31661452,2
ATP6V1A,4.3387,7.8344,0.554,-0.468,0.00560385,0.00168601,0.14824144,0.51871531,0.31663994,2
CFP,31.0747,60.0656,0.517,-0.455,1.907e-05,0.00205787,0.00288193,0.53681325,0.31676124,3
DHFR,4.1613,3.3009,1.261,0.155,0.11659239,0.28853828,0.75296996,0.02147068,0.31690958,1
GABPB2,4.3445,4.1457,1.048,0.037,0.95863655,0.8017314,0.62637083,0.21662026,0.31714809,0
INTS12,4.6215,6.3863,0.724,-0.337,0.06059544,0.0221249,0.82486548,0.07259907,0.31718924,1
CREB1,6.3001,8.561,0.736,-0.292,0.00503666,0.04625284,0.31104907,0.20613999,0.31723148,2
C5AR1,23.1403,59.4424,0.389,-0.438,2.3e-07,0.00332385,0.00014111,0.90209945,0.31734822,3
ERP44,3.1552,5.3378,0.591,-0.382,0.00360194,0.00977614,0.7830205,0.48343223,0.3179587,2
POU6F1,3.2761,2.0768,1.577,0.271,0.13322763,0.06365992,0.03487562,0.54417848,0.31810669,1
MX2,11.9001,18.7104,0.636,-0.371,0.00035246,0.01174855,0.01685076,0.1960065,0.31819363,3
AFF3,4.7492,3.811,1.246,0.17,0.4572437,0.24337897,0.90215484,0.63152163,0.31922925,0
NCK2,21.4462,26.016,0.824,-0.202,0.00023593,0.16541956,0.00204699,0.385418,0.31962015,2
LANCL1,2.7602,2.7328,1.01,0.009,0.26112597,0.94926812,0.30870609,0.53681325,0.31975372,0
TK2,3.2394,3.7123,0.873,-0.086,0.86588117,0.5562568,0.12986936,0.63152163,0.32008942,0
CALR,40.755,60.3089,0.676,-0.383,0.00077784,0.00945219,0.0071469,0.53681325,0.32016023,3
GUSBP1,3.8074,3.0499,1.248,0.094,0.00682331,0.51979024,0.2315998,0.01674697,0.32032478,2
TRNT1,2.9485,3.0571,0.964,-0.026,0.12582279,0.85651585,0.09945275,0.68249626,0.32038774,0
KRIT1,5.444,5.1589,1.055,0.057,0.11201848,0.6964606,0.05450805,0.48343223,0.32071523,0
MRPL36,10.5245,25.818,0.408,-0.347,0.00724887,0.01902593,0.41428322,0.56304472,0.32089307,2
SIPA1L1,13.5806,20.78,0.654,-0.481,8.03e-06,0.00114619,0.01283555,0.73226424,0.32106177,3
TNRC6A,5.4426,5.6169,0.969,-0.032,0.06357364,0.82580353,0.32293952,0.73226424,0.32123759,0
CLTC,23.7413,36.032,0.659,-0.43,0.00062834,0.00368585,0.05149099,0.96729961,0.32128833,2
PSMB1,10.7536,21.0159,0.512,-0.411,8.045e-05,0.00565283,0.00139118,0.41673557,0.32132088,3
CDV3,11.2367,17.7803,0.632,-0.444,6.66e-06,0.0026086,0.0011924,0.88048261,0.32138594,3
STX2,1.8335,2.1081,0.87,-0.094,0.59378361,0.51830634,0.92554702,0.3303678,0.32139277,0
DNAJC19,7.2835,10.6591,0.683,-0.288,0.02663124,0.0504889,0.01533493,0.46626286,0.32143482,2
SRXN1,1.7952,3.8282,0.469,-0.405,0.00873777,0.00654207,0.30725034,0.09515552,0.32147121,2
RHOXF2,2.4707,2.3667,1.044,0.031,0.02264363,0.83360172,0.54037861,0.18025959,0.32174127,1
SNX30,4.0546,3.6396,1.114,0.09,0.2127344,0.53556426,0.57842401,0.10004523,0.32188985,0
PCIF1,34.4095,44.4789,0.774,-0.305,6.016e-05,0.03721629,0.0016206,0.63152163,0.32194365,3
HAGH,15.026,22.9825,0.654,-0.358,0.00010711,0.01511108,0.00179219,0.28697196,0.32207773,3
AKAP10,6.3081,8.8458,0.713,-0.36,0.00533527,0.0146218,0.04377789,0.94552275,0.3220998,3
DCLRE1C,7.6109,7.0334,1.082,0.084,0.81804032,0.56342365,0.82486548,0.07259907,0.32253458,0
FLNA,604.5166,820.8054,0.736,-0.333,2.918e-05,0.0229258,0.00076924,0.90209945,0.32260138,3
MKNK2,103.8409,153.7692,0.675,-0.398,9.706e-05,0.00698688,0.00159351,0.6120509,0.32262932,3
SAMD3,18.7368,23.2968,0.804,-0.083,0.46533222,0.5712967,0.51625919,0.6120509,0.32293826,0
GATA3,26.3207,23.593,1.116,0.109,0.53282101,0.45238512,0.36816353,0.46626286,0.32294188,0
NT5DC1,3.4993,3.0933,1.131,0.13,0.0344741,0.372669,0.07916031,0.08827147,0.32324753,1
EPS15,15.2214,22.0198,0.691,-0.393,0.00627856,0.0077668,0.10254487,0.94552275,0.32353465,2
RNASEL,4.1815,4.9171,0.85,-0.165,0.15436465,0.25912854,0.22450177,0.77391449,0.32377405,0
B2M,0.733,2.1171,0.346,-0.33,0.04026547,0.02639304,0.25112157,0.67177416,0.32396371,2
MASTL,1.9615,2.0144,0.974,-0.021,0.6502009,0.88388939,0.3063748,0.88048261,0.32410092,0
PHLPP2,3.3657,4.1526,0.811,-0.258,0.34033102,0.07850584,0.88271555,0.65123214,0.32429883,0
KLF6,52.2369,73.3022,0.713,-0.264,1.692e-05,0.07187413,0.00013293,0.73226424,0.32446123,2
PARP16,1.4675,2.1748,0.675,-0.331,0.32832116,0.02505805,0.56337011,0.42138958,0.32448831,1
CREG1,3.5579,6.0976,0.583,-0.406,9.09e-06,0.0058225,0.00154059,0.94552275,0.32455543,3
SIPA1L2,3.8903,4.0913,0.951,-0.052,0.57920068,0.72278688,0.81721641,0.77391449,0.32463686,0
KREMEN1,1.3256,2.7953,0.474,-0.327,0.73953658,0.02706872,1.0,0.33043834,0.32464203,1
GMDS,6.9558,8.4273,0.825,-0.19,0.00911101,0.19319682,0.06883401,0.77391449,0.32482465,1
WHAMM,3.6158,4.3765,0.826,-0.237,0.00314066,0.1044464,0.04326643,0.98909653,0.32489522,2
MAPK1,32.0444,56.4128,0.568,-0.429,0.00241802,0.00388888,0.08611842,0.88048261,0.32514098,2
WDR76,2.224,2.0786,1.07,0.06,0.46208046,0.67802334,0.21163802,0.68249626,0.32545512,0
GABARAP,45.5815,90.521,0.504,-0.488,1.2e-06,0.00102033,0.00191571,0.67117575,0.3255293,3
SDCBP,12.1603,28.6526,0.424,-0.449,0.00322282,0.00277203,0.04974877,0.92378602,0.32575263,3
CHI3L1,10.0621,19.5765,0.514,-0.381,0.00542347,0.01031337,0.17470039,0.35550187,0.32621301,2
SNX13,13.5065,17.4271,0.775,-0.278,0.00124844,0.05801287,0.00997149,1.0,0.32629676,2
SEC23B,9.4436,14.182,0.666,-0.411,1.91e-06,0.00524453,0.00051695,0.75300697,0.32657425,3
GNB2,159.0497,265.3173,0.599,-0.449,1.4e-07,0.00234685,7.537e-05,0.7949782,0.32674812,3
EIF1,28.3011,57.8958,0.489,-0.484,1.3e-07,0.00113387,0.00056637,0.6120509,0.32690255,3
INPPL1,39.2346,53.5452,0.733,-0.365,4.23e-06,0.01282041,0.00261623,0.69133573,0.3269387,3
ZNF121,1.0049,1.1165,0.9,-0.081,0.81081454,0.58082069,0.54526978,0.46626286,0.32694842,0
PARK7,8.8731,16.9179,0.524,-0.426,0.00014818,0.00410809,0.00634756,0.71170446,0.32702444,3
ACTR3,12.8417,21.2216,0.605,-0.377,0.01735384,0.01125624,0.05328398,0.63152163,0.3272073,2
POLD3,3.3814,3.1767,1.064,0.061,0.91210898,0.67298562,0.29038061,0.96729961,0.327359,0
ZCCHC2,12.5269,15.9472,0.786,-0.324,0.00658947,0.02730189,0.09747353,0.96729961,0.32749677,2
ALOX15,1.2165,1.063,1.144,0.077,0.05770935,0.59681014,0.08340502,0.37421673,0.32752855,0
BMPR2,5.9152,7.7188,0.766,-0.337,0.00520539,0.02164198,0.65806741,0.63152163,0.3277986,2
ARCN1,3.9454,6.1879,0.638,-0.408,0.00842718,0.00584058,0.22638376,0.4009022,0.32780284,2
SLC5A3,2.9412,3.2698,0.9,-0.104,0.29528328,0.47390361,0.18589149,0.77391449,0.3278408,0
CD8B,10.8083,24.0829,0.449,-0.268,0.19845108,0.07036864,0.18426108,0.85894553,0.3278474,0
ACVR1,2.9295,2.7332,1.072,0.072,0.38372143,0.61946635,0.09847143,0.69133573,0.32789772,0
FAM160A2,36.3571,50.5351,0.719,-0.235,8.135e-05,0.10797828,0.0005265,0.816179,0.32807637,2
SLC35E1,10.7551,12.826,0.839,-0.182,0.00033157,0.21082364,0.00757947,0.20613999,0.32810431,2
CUL4A,7.0659,6.3754,1.108,0.061,0.33363901,0.67208558,0.43139067,0.227454,0.32811871,0
NOD1,16.2938,15.1631,1.075,0.052,0.00345157,0.71738321,0.01375066,0.85894553,0.32830549,2
DEAF1,11.4667,14.3011,0.802,-0.256,0.00018336,0.07985083,0.00218649,0.7949782,0.32841896,2
HERC3,5.6361,7.9118,0.712,-0.232,0.40507051,0.11372459,0.95097448,0.13124415,0.32848913,0
SPTB,5.9849,7.0782,0.846,-0.217,0.99893892,0.13936216,0.23596257,0.35550187,0.32851157,0
CIAO1,4.7683,6.5239,0.731,-0.316,0.01104199,0.0314039,0.045343,0.98909653,0.32866553,3
CISH,31.634,29.3425,1.078,0.071,0.10963751,0.62702055,0.38676685,0.816179,0.32871328,0
IKZF3,19.2255,13.7322,1.4,0.146,0.78923637,0.31488599,0.36555213,0.20613999,0.32874534,0
FUS,30.671,35.4233,0.866,-0.179,0.16951994,0.22114906,0.26219842,0.71170446,0.32883988,0
MPO,14.7189,20.3175,0.724,-0.259,1.36e-06,0.07553283,0.0005265,0.71170446,0.32972955,2
AMACR,1.9953,2.8027,0.712,-0.356,0.0178611,0.01570518,0.10568704,0.34107567,0.32993851,2
REPS2,3.5983,4.8372,0.744,-0.15,0.96711588,0.30542673,0.29489314,0.63152163,0.33010806,0
NSUN4,3.625,5.0436,0.719,-0.26,0.25999877,0.07696699,0.35012698,0.41673557,0.33026175,0
SERPINB9,11.1354,11.0445,1.008,0.008,0.05738412,0.95866959,0.34507922,0.77391449,0.33046644,0
PHF11,6.2949,8.2934,0.759,-0.316,0.25330779,0.03223368,0.87495891,0.816179,0.3305558,1
CAPRIN1,21.4155,29.341,0.73,-0.363,0.00154337,0.01368516,0.08522253,0.7949782,0.33059405,2
GNA12,6.8129,8.321,0.819,-0.206,3.13e-05,0.15673191,0.00082592,0.385418,0.33099721,2
HMGXB3,11.5817,14.3143,0.809,-0.232,0.00044894,0.11111569,0.00079711,0.92378602,0.33128821,2
ATG14,2.1375,2.0683,1.033,0.035,0.35397111,0.81107708,0.74923879,0.20613999,0.33130825,0
SFT2D1,3.2057,3.4088,0.94,-0.049,0.62362502,0.73586499,0.8095847,0.83750782,0.33164994,0
TRAF7,45.1363,61.2517,0.737,-0.322,4.68e-06,0.02788493,0.00040663,0.57388325,0.331693,3
ITPR2,11.0177,12.188,0.904,-0.156,0.06169843,0.2851646,0.01924391,0.57388325,0.33180147,1
QSER1,6.942,10.0969,0.688,-0.334,0.00178503,0.02270234,0.16402007,0.88048261,0.33185904,2
ACTR5,2.1366,2.1253,1.005,0.005,0.87635291,0.9699692,0.43139007,0.63152163,0.33201094,0
FAM193B,31.5191,35.5522,0.887,-0.13,0.00533527,0.37314641,0.0044094,0.96729961,0.33224733,2
HEG1,14.3041,9.6325,1.485,0.162,0.41953598,0.26349694,0.34759758,0.27434987,0.33231733,0
MAP2K5,4.2983,3.7418,1.149,0.13,0.58284374,0.37030778,0.4228011,0.5928362,0.33237783,0
PRAM1,40.3227,59.5744,0.677,-0.393,2.18e-06,0.00742475,0.00067867,0.73226424,0.3324769,3
APH1B,2.8435,2.6402,1.077,0.042,0.26337819,0.7725712,0.56503154,0.46626286,0.33282449,0
MPP7,3.5878,4.1183,0.871,-0.116,0.21078836,0.42523072,0.99607635,0.77391449,0.3331544,0
BMS1P1,0.503,0.4605,1.092,0.076,0.34033016,0.60257643,0.56837863,0.51871531,0.33368583,0
AGL,6.462,5.7026,1.133,0.181,0.04174831,0.21580682,0.06098508,0.55520734,0.33413406,1
SMCHD1,29.8261,51.2962,0.581,-0.377,0.08552115,0.01131507,0.33512247,0.51871531,0.33432913,1
PACS2,30.5389,34.5925,0.883,-0.122,0.00111612,0.40167481,0.00302382,0.7949782,0.33441986,2
JAK3,75.7045,90.7256,0.834,-0.212,0.00104504,0.14637253,0.00302382,0.83750782,0.33467709,2
SLC46A3,1.0895,1.0721,1.016,0.016,0.16787322,0.91251407,0.12375421,0.68251085,0.33520403,0
NMI,4.5331,8.113,0.559,-0.368,0.1875353,0.01314425,0.64742118,0.27434987,0.33596573,1
TRANK1,39.5247,45.5678,0.867,-0.113,2.565e-05,0.43742387,0.00013561,0.73226424,0.33599855,2
KLF11,9.2625,10.7154,0.864,-0.13,0.01393573,0.37304411,0.11444026,0.23864024,0.3364433,1
TNFAIP8L2,14.0359,24.4203,0.575,-0.424,2.55e-06,0.00407911,0.00017882,0.71170446,0.33706169,3
PHF10,2.2889,1.6131,1.419,0.185,0.1179631,0.20294696,0.10012961,0.74562731,0.33727057,0
ALDH9A1,7.8111,8.2062,0.952,-0.044,0.02908708,0.76281702,0.15669779,0.63152163,0.33761342,1
GNAZ,27.0,24.9898,1.08,0.036,0.00021929,0.80557036,0.01055349,0.4009022,0.33762309,2
NOL10,2.4874,3.3845,0.735,-0.295,0.07987152,0.04471386,0.3976478,0.14231835,0.33788471,1
USP28,6.1258,5.9007,1.038,0.042,0.42569056,0.77198136,0.46372881,0.1960065,0.33808231,0
RCOR1,2.5042,3.8812,0.645,-0.38,0.00016314,0.00974332,0.04750296,0.43290855,0.33821812,3
HNRNPA1P10,2.6699,1.636,1.632,0.183,0.19888268,0.20803108,0.08560214,0.57388325,0.33846397,0
RNF24,2.4171,4.6935,0.515,-0.275,0.74657666,0.06289193,0.5953498,0.67117575,0.33863706,0
PSAP,189.7686,357.0182,0.532,-0.482,2.4e-07,0.00113312,0.00041426,0.67117575,0.33879334,3
POLR2C,7.5901,8.3395,0.91,-0.079,0.46859004,0.58799752,0.87108503,0.34107567,0.33897421,0
SLC25A45,3.7841,4.3354,0.873,-0.146,0.12195247,0.31611714,0.11331587,0.6120509,0.33900439,0
TNFAIP3,13.7963,17.6198,0.783,-0.284,0.00081613,0.05217187,0.02399726,0.75300697,0.33934622,2
ITM2B,18.7714,47.4952,0.395,-0.429,3.53e-06,0.0041157,0.00100235,0.67117575,0.3394382,3
UBXN1,27.2839,40.04,0.681,-0.429,4.277e-05,0.00364918,0.00132189,0.71170446,0.33945522,3
UBA1,65.2577,84.1253,0.776,-0.298,0.00452188,0.04199452,0.01055349,0.90209945,0.33959886,3
WIPI2,22.4003,32.6513,0.686,-0.415,3.598e-05,0.00482414,0.01197475,0.7949782,0.33967722,3
ICAM2,29.7392,46.984,0.633,-0.315,1.518e-05,0.03222568,0.00327453,0.53681325,0.340008,3
NDST2,13.88,16.9754,0.818,-0.178,0.03069329,0.22413818,0.07667188,0.15044329,0.34042323,1
PSMB10,22.5249,47.5029,0.474,-0.413,0.00048382,0.00554137,0.01662646,0.67117575,0.34048511,3
MFF,3.9389,4.8584,0.811,-0.198,0.75262653,0.17698479,0.22449935,0.816179,0.34072965,0
SLC17A4,1.1191,0.6521,1.716,0.273,0.00422833,0.06185979,0.12253127,0.7949782,0.34083957,1
PPIAL4A,1.9724,1.3009,1.516,0.213,0.00551067,0.14437744,0.01494922,0.36312702,0.34086604,2
PRR5L,19.7868,20.7209,0.955,-0.038,0.05138523,0.79413571,0.09260467,0.14231835,0.34087676,0
MED23,10.3493,11.1133,0.931,-0.09,0.29898029,0.53778424,0.5194431,0.21662026,0.34105006,0
JMJD1C,23.348,33.4927,0.697,-0.381,0.0063807,0.00994126,0.17470039,0.63152163,0.34113683,2
CNNM2,2.7841,3.2374,0.86,-0.133,0.04310184,0.36037624,0.0570263,0.44942115,0.34120481,1
FBXW5,74.2097,104.6941,0.709,-0.367,1.84e-06,0.01229824,0.00019717,0.63152163,0.3413885,3
CHD1,6.613,6.679,0.99,-0.013,0.36936834,0.93028999,0.15383929,0.43290855,0.34170356,0
BIRC2,9.4634,9.4266,1.004,0.004,0.60865307,0.97557686,0.65806741,0.1588897,0.3417357,0
SNORD94,177.4793,179.6387,0.988,-0.009,0.92477534,0.9513109,0.8982619,0.04769022,0.34174689,1
UBE2D4,3.6339,4.8166,0.754,-0.211,0.0169199,0.14868715,0.04974758,0.69133573,0.34188506,2
KIAA0319L,7.5947,9.8014,0.775,-0.32,0.0013199,0.02905142,0.02828977,0.71170446,0.34188573,3
YPEL2,5.0821,8.6885,0.585,-0.363,0.00140803,0.01413662,0.18918426,0.6120509,0.34192526,2
PAPOLG,6.0143,6.6443,0.905,-0.083,0.93746065,0.57043917,0.3552226,1.0,0.34195335,0
AQP9,3.7634,17.3836,0.216,-0.36,1.429e-05,0.01583147,0.00420928,0.370282,0.34196926,3
EIF2S3,25.9921,31.9269,0.814,-0.237,0.01054804,0.10475116,0.02590269,0.77391449,0.34220942,2
RBMS2,3.4812,4.7394,0.735,-0.235,0.00999669,0.10705029,0.82869632,0.88048261,0.34246825,1
PSMA2,1.3205,2.6343,0.501,-0.292,0.36510279,0.0484033,0.21252014,0.34462432,0.34248785,1
NOL11,4.5661,4.6081,0.991,-0.014,0.86169887,0.92355136,0.24783119,0.83750782,0.34253304,0
VAPA,2.9656,3.589,0.826,-0.174,0.25000755,0.23271711,0.52263657,0.05129462,0.34262968,0
KAT5,18.4894,26.0302,0.71,-0.361,0.00314066,0.01394763,0.06374906,0.92378602,0.34263459,2
ST8SIA4,3.1188,5.263,0.593,-0.37,0.35535386,0.01284815,0.5258401,0.53681325,0.34327454,1
CSDE1,58.0351,80.9353,0.717,-0.348,1.93e-05,0.01763938,0.00395528,0.67117575,0.34328732,3
PPP4R2,2.0309,2.1448,0.947,-0.065,0.61051579,0.65779675,0.54854237,0.65123214,0.34331457,0
ALG1,2.051,1.9248,1.066,0.06,0.65595562,0.67795702,0.29945112,0.26208651,0.3433936,0
PPP2R2A,2.821,3.9725,0.71,-0.318,0.12388621,0.03102419,0.21162848,0.44942115,0.34340947,1
IFITM3,92.5277,302.2232,0.306,-0.445,2.36e-06,0.00292772,0.00736033,0.55520734,0.34344001,3
KLRG1,19.0565,15.5098,1.229,0.143,0.87635312,0.32391614,0.84405954,0.43290855,0.34359974,0
TTYH2,13.0984,16.8353,0.778,-0.275,0.00039002,0.05974519,0.00088644,0.41673557,0.34367346,2
COTL1,53.6908,107.5888,0.499,-0.53,2e-08,0.00035459,2.295e-05,0.88048261,0.34370053,3
SRP72,10.5928,11.1511,0.95,-0.058,0.92266289,0.68942587,0.39218566,0.75300697,0.3437299,0
STXBP3,5.7315,6.0875,0.942,-0.052,0.97559904,0.72016572,0.29489377,0.816179,0.34375106,0
BAX,15.7488,24.8134,0.635,-0.366,0.00170601,0.01316775,0.01040523,0.65123214,0.34388651,3
TCHP,3.0638,3.6548,0.838,-0.231,0.02718149,0.1148886,0.00757947,0.00744715,0.34390151,3
LYPLA2,21.7902,30.8014,0.707,-0.41,9.391e-05,0.00531001,0.00194778,0.32701011,0.34428372,3
SLC22A18,1.8661,1.9993,0.933,-0.024,0.66115704,0.87124159,0.5479466,0.37294337,0.344862,0
PLEKHM2,23.6369,33.0796,0.715,-0.341,2.36e-06,0.01988348,0.00018235,0.90209945,0.34515253,3
TMEM50A,3.5672,5.7765,0.618,-0.339,0.0817204,0.02184259,0.73067243,0.57388325,0.34517883,1
NADSYN1,25.5868,29.9755,0.854,-0.187,0.00471395,0.19829228,0.004478,0.31330231,0.34527005,2
CYFIP1,0.6507,0.679,0.958,-0.018,0.74927919,0.90375999,0.90252795,0.28571227,0.34532486,0
IGHM,42.3432,34.6548,1.222,0.112,0.4588551,0.44085219,0.58516746,0.5928362,0.34538025,0
HAL,6.6466,7.9469,0.836,-0.093,0.67140077,0.52495308,0.93728595,0.73226424,0.34573439,0
RPS15,5043.5455,9422.7578,0.535,-0.338,7.279e-05,0.02227416,0.03662004,0.73226424,0.3458955,3
ELF4,35.5862,54.0949,0.658,-0.426,8.8e-07,0.00381658,0.0001303,0.85894553,0.34589905,3
MIR142,0.4295,0.4944,0.869,-0.077,0.02856804,0.59620314,0.05954612,0.82145278,0.34594626,1
PTGER4,23.8397,29.1356,0.818,-0.165,0.00546807,0.25857403,0.19932026,0.6120509,0.34596397,1
SLC35C1,3.6141,5.2933,0.683,-0.424,0.00033157,0.00408293,0.01055349,0.20613999,0.34628475,3
ZBED4,11.867,14.6065,0.812,-0.246,0.00939813,0.09205906,0.00414443,0.32701011,0.34633436,2
NPEPPS,20.2173,26.5526,0.761,-0.242,0.02272333,0.09894521,0.07188632,0.7949782,0.34635678,1
SLC22A15,2.2872,3.4975,0.654,-0.331,0.02987479,0.02472576,0.15811168,0.85894553,0.34663251,2
ABHD2,6.6288,14.5278,0.456,-0.371,0.00402122,0.01270595,0.05638807,0.7949782,0.34715593,2
DHX58,9.0087,10.6382,0.847,-0.156,0.04679572,0.28517242,0.10675124,0.77391449,0.34727761,1
YWHAG,7.8591,10.1633,0.773,-0.259,0.00339304,0.07731802,0.03086403,0.73226424,0.34751986,2
CDC123,7.9484,13.4646,0.59,-0.361,0.00273385,0.01506629,0.05450805,0.46626286,0.34851248,2
SRP54,3.6489,4.1869,0.871,-0.106,0.40738494,0.46902304,0.01899191,0.55520734,0.34880928,1
LDHB,21.8735,36.6733,0.596,-0.364,0.01227526,0.01390956,0.1122002,0.7949782,0.34900168,2
CLNS1A,8.9086,9.6996,0.918,-0.058,0.05202473,0.69263893,0.18103207,0.55520734,0.34907221,0
TLE3,22.9616,42.4462,0.541,-0.428,1.395e-05,0.00401683,0.00491029,0.5928362,0.34923149,3
BAZ1B,8.0235,10.2224,0.785,-0.282,0.04534467,0.05481921,0.14146457,0.90209945,0.3501169,1
CLIP4,5.3237,4.7302,1.125,0.121,0.94380946,0.40429114,0.29945112,0.77391449,0.35017142,0
COG7,6.0686,5.5766,1.088,0.051,0.65787842,0.72279976,0.38139397,0.370282,0.35048001,0
TAOK1,10.963,13.5549,0.809,-0.275,0.01974024,0.06029427,0.67595076,0.28697196,0.35054225,1
DENND4C,8.7959,9.3581,0.94,-0.064,0.92055099,0.65997156,0.44886499,0.12701804,0.35094098,0
AMIGO1,6.3649,6.2807,1.013,0.01,0.23710741,0.94476161,0.0062536,0.41673557,0.351054,1
UROS,3.9314,4.631,0.849,-0.136,0.74456334,0.35342168,0.09847143,0.88048261,0.35130023,0
MIF4GD,16.6678,26.0342,0.64,-0.394,1.95e-06,0.00732317,0.0003845,0.4009022,0.35137663,3
RBM15,24.8834,31.8793,0.781,-0.302,0.00044447,0.03920225,0.00156685,0.31330231,0.35214584,3
SCAI,2.9712,2.435,1.22,0.164,0.0417484,0.26010165,0.05638807,0.6120509,0.35240845,1
ZRSR2,13.1594,15.3657,0.856,-0.142,0.47350005,0.33230877,0.34257252,0.29995754,0.35257261,0
SMARCD1,9.1838,9.4361,0.973,-0.032,0.20597917,0.8264903,0.79437617,0.55520734,0.35259998,0
CD300LB,3.0127,5.6922,0.529,-0.417,0.00696955,0.00498726,0.35266677,0.75300697,0.3526166,2
ZNF836,4.3714,3.639,1.201,0.204,0.02178976,0.16279019,0.03404987,0.90209945,0.35311964,2
FGL2,18.7958,39.1561,0.48,-0.495,5.31e-06,0.00088767,0.01432697,0.7949782,0.35341612,3
SLC39A9,5.1761,4.894,1.058,0.057,0.82838947,0.69358868,0.76419783,0.67117575,0.35349883,0
NR2C2,24.7175,27.3808,0.903,-0.085,0.0095447,0.55887565,0.1122002,0.96729961,0.35375913,1
KDM1A,6.0971,8.4658,0.72,-0.287,0.01446045,0.05094542,0.11902584,0.57388325,0.3539017,1
DNTTIP1,6.8016,11.8062,0.576,-0.417,0.0019358,0.00506509,0.04917913,0.370282,0.35397157,3
GTPBP2,32.3774,42.5198,0.761,-0.222,0.00018336,0.12772914,0.00815311,0.85894553,0.35435536,2
NDUFV3,4.7884,6.1012,0.785,-0.284,0.08600613,0.0534925,0.1004917,0.227454,0.35449204,0
PTPRE,31.6007,51.2188,0.617,-0.404,0.00042274,0.00622063,0.01949883,0.57388325,0.3550071,3
TMEM191A,2.1846,1.6627,1.314,0.142,0.51720934,0.32862394,0.15813664,0.29011921,0.35552286,0
HAUS4,17.2478,19.292,0.894,-0.089,0.00696965,0.54094541,0.07034658,0.96729961,0.35554337,1
LAMB3,1.1355,0.805,1.41,0.342,0.00501524,0.01967553,0.09212448,0.98874637,0.35569133,2
KLF7,2.5631,3.3176,0.773,-0.24,0.15359648,0.10241379,0.22263099,0.31330231,0.35576326,0
TRMT2A,19.4331,24.4765,0.794,-0.193,0.00369501,0.18556973,0.01070363,0.370282,0.35580106,2
CEP192,10.5597,9.9438,1.062,0.077,0.81804032,0.5950823,0.43139067,0.03252987,0.35585011,1
ZNF398,7.2511,7.4116,0.978,-0.021,0.05843846,0.88757207,0.75670691,0.46626286,0.35603671,0
PIP5K1A,17.8305,26.0137,0.685,-0.382,0.00408952,0.00954271,0.24382942,0.51871531,0.35618172,2
RPL28,415.0535,910.5513,0.456,-0.311,0.00028431,0.03552721,0.07832363,0.75300697,0.35619887,2
CD79B,18.7987,25.8975,0.726,-0.249,0.00233412,0.08829881,0.05638807,0.370282,0.35656768,1
TREM1,10.5527,27.101,0.389,-0.46,6e-07,0.00206971,0.00070348,0.816179,0.3571835,3
